fid,shapeName,shapeiso,shapeid,shapegroup,shapetype,total_building_area,total_flooded_building_area,total_flooded_building_area_perc,non_affected_building_area,flooded_building_count,non_affected_building_count,total_num_buildings,percentage_flooded,flooded_grid_length,non_affected_grid_length,total_grid_length,percentage_grid_flooded,_merge,relative_wealth_index,_merge2,flooded_road_length,total_roads_length,non_affected_road_length,percentage_flooded_roads,_merge3,gdp_ppp,_merge4,flooded_cropland,cropland_not-affected,flooded_cropland_perc,flooded_builtup,flooded_builtup_perc,cropland,builtup,_merge5,flooded_total_dependency_2024,flooded_elderly_dependency_2024,flooded_child_dependency_2024,flooded_rate_below_5_2024,flooded_rate_below_5_2024_reverse,flooded_rate_above_65_2024,flooded_rate_above_65_2024_reverse,flooded_female_pop_2024,flooded_female_pop_2024_perc,flooded_male_pop_2024,flooded_male_pop_2024_perc,flooded_pop_2024,non_affected_pop_2024,flooded_pop_2024_perc,flooded_child_pop_2024,flooded_active_pop_2024,flooded_elderly_pop_2024,female_pop_2024,male_pop_2024,pop_2024,_merge6,_merge7
41,Lakhai,,5055444B57247897751497,BGD,ADM3,1633196.3,19054.221,1.17,1614142.079,509,29917,30426,1.673,13300,26600,39900,33.299999,Matched (3),-0.232459315,Matched (3),12380,62340,49960,19.860001,Matched (3),197063440,Matched (3),224145.42,159944.11,58.36,1519.0603,3.47,384089.53,43827.977,Matched (3),60.175133,8.4885321,51.6866,11.42,88.58,5.30,94.70,12603.397,17.57,12096.44,17.55,24699.838,115960.332,17.56,7976.3599,15413.779,1309.6982,71742.758,68917.414,140660.17,Matched (3),Matched (3)
39,Barlekha,,5055444B82170766050132,BGD,ADM3,5602964,23292.074,0.42,5579671.926,574,65949,66523,0.86299998,5980,33520,39500,15.1,Matched (3),0.014850511,Matched (3),13100,185640,172540,7.0599999,Matched (3),663686400,Matched (3),220172.78,139126.97,61.28,843.35858,0.66,359299.75,127324.26,Matched (3),52.824245,7.6263885,45.197857,9.69,90.31,4.99,95.01,11730.671,8.79,11423.419,8.82,23154.09,239831.00,8.80,6845.4434,15152.329,1156.3179,133415.69,129569.39,262985.09,Matched (3),Matched (3)
18,Nabiganj,,5055444B95626234950113,BGD,ADM3,5127545.5,17850.18,0.35,5109695.32,464,65913,66377,0.699,25780,74080,99860,25.799999,Matched (3),-0.069096659,Matched (3),29760,392780,363020,7.5799999,Matched (3),645913024,Matched (3),292690.28,560330.60,34.31,525.99475,0.39,853020.88,134410,Matched (3),60.091419,8.428236,51.663181,11.40,88.60,5.26,94.74,11660.735,7.64,11264.971,7.66,22925.705,276732.385,7.65,7372.8081,14346.09,1206.808,152609.97,147048.13,299658.09,Matched (3),Matched (3)
65,Daudkandi,,5055444B33374130329407,BGD,ADM3,6784067,11037.904,0.16,6773029.096,222,134611,134833,0.16500001,7240,45960,53200,13.6,Matched (3),0.267783493,Matched (3),8080,546540,538460,1.48,Matched (3),768874432,Matched (3),26460.543,269370.52,8.94,185.2001,0.12,295831.06,152883.67,Matched (3),56.990734,9.1401939,47.85054,9.77,90.23,5.82,94.18,10057.717,6.19,9151.2344,6.19,19208.951,291203.359,6.19,5854.6919,12235.977,1118.2823,162547.86,147864.45,310412.31,Matched (3),Matched (3)
38,Muradnagar,,5055444B46038543043233,BGD,ADM3,10111752,11633.864,0.12,10100118.136,409,235678,236087,0.17299999,3520,79960,83480,4.1999998,Matched (3),0.125997499,Matched (3),13020,935600,922580,1.39,Matched (3),1236597376,Matched (3),63516.953,461570.61,12.10,528.5672,0.20,525087.56,264287.88,Matched (3),57.024113,9.1394043,47.884708,9.78,90.22,5.82,94.18,9966.5635,3.94,9066.4941,3.94,19033.057,463873.353,3.94,5804.4141,12120.873,1107.7706,252864.42,230041.98,482906.41,Matched (3),Matched (3)
85,Pekua,,5055444B9589532337582,BGD,ADM3,3461397.3,193497.38,5.59,3267899.92,5102,53893,58995,8.6479998,2520,12740,15260,16.5,Matched (3),-0.081091688,Matched (3),23000,221540,198540,10.38,Matched (3),690890816,Matched (3),72373.094,93614.91,43.60,436,0.52,165988,84275.773,Matched (3),61.794834,5.7176666,56.077168,11.56,88.44,3.53,96.47,8496.499,9.83,8928.6836,9.83,17425.182,159850.068,9.83,6039.4688,10769.925,615.78845,86450.055,90825.195,177275.25,Matched (3),Matched (3)
29,Sonagazi,,5055444B14188015816574,BGD,ADM3,5411055,16160.816,0.30,5394894.184,272,75766,76038,0.35800001,2840,26780,29620,9.6000004,Matched (3),0.165094632,Matched (3),14260,372360,358100,3.8299999,Matched (3),511227040,Matched (3),75460.719,117817.59,39.04,2029.6531,1.80,193278.31,112990.35,Matched (3),51.869022,9.0106878,42.858334,9.01,90.99,5.94,94.06,8810.6016,6.64,8155.0918,6.64,16965.693,238531.397,6.64,4760.9077,11195.362,1009.4228,132656.64,122840.45,255497.09,Matched (3),Matched (3)
78,Chauddagram,,5055444B9070330767349,BGD,ADM3,9874068,31858.682,0.32,9842209.318,735,164437,165172,0.44499999,15500,48760,64260,24.1,Matched (3),0.118470019,Matched (3),62920,1007420,944500,6.25,Matched (3),840859712,Matched (3),223592.72,168190.06,57.07,2726.4695,1.22,391782.78,223969.88,Matched (3),57.018963,9.1394758,47.879486,9.78,90.22,5.82,94.18,7821.0508,3.99,7114.6421,3.99,14935.692,359657.838,3.99,4554.3115,9512.0313,869.34979,196155.28,178438.25,374593.53,Matched (3),Matched (3)
61,Daganbhuiyan,,5055444B99414305730014,BGD,ADM3,4792209.5,4950.1187,0.10,4787259.3813,117,66556,66673,0.175,4900,36060,40960,12,Matched (3),0.176826266,Matched (3),7640,301780,294140,2.53,Matched (3),485043264,Matched (3),59327.613,71710.16,45.28,1440.6964,1.56,131037.77,92070.688,Matched (3),51.182289,9.0236301,42.158657,8.89,91.11,5.97,94.03,7625.6392,6.51,7064.1396,6.51,14689.778,210975.022,6.51,4097.8315,9715.2383,876.70807,117154.63,108510.16,225664.8,Matched (3),Matched (3)
15,Chandina,,5055444B69698146690678,BGD,ADM3,6858523.5,4727.4858,0.07,6853796.0142,222,151923,152145,0.146,3180,37040,40220,7.9000001,Matched (3),0.195895707,Matched (3),6680,633280,626600,1.05,Matched (3),843637312,Matched (3),40982.148,233849.38,14.91,256,0.15,274831.53,168237.7,Matched (3),57.018963,9.1394758,47.879486,9.78,90.22,5.82,94.18,7441.8198,4.16,6769.6636,4.16,14211.483,327665.267,4.16,4333.48,9050.8076,827.19635,179029.11,162847.64,341876.75,Matched (3),Matched (3)
77,Chakaria,,5055444B84996258897066,BGD,ADM3,9765840,662098.31,6.78,9103741.69,21236,155862,177098,11.991,5620,85540,91160,6.1999998,Matched (3),-5.19E+305,Matched (3),82400,724120,641720,11.38,Matched (3),1792187264,Matched (3),80364.789,318534.27,20.15,372,0.17,398899.06,220704.19,Matched (3),61.743916,5.7155967,56.02832,11.56,88.44,3.53,96.47,6835.3203,3.16,7192.6123,3.16,14027.933,429526.697,3.16,4852.0034,8680.2822,495.64621,216230.22,227324.42,443554.63,Matched (3),Matched (3)
3,Comilla Adarsha Sadar,,5055444B48258460974709,BGD,ADM3,11173343,9769.3662,0.09,11163573.6338,70,149573,149643,0.046999998,3400,26140,29540,11.5,Matched (3),0.141135659,Matched (3),4980,595360,590380,0.83999997,Matched (3),1475478144,Matched (3),22887.912,92472.69,19.84,978.87915,0.60,115360.6,163356.45,Matched (3),57.018963,9.1394758,47.879486,9.78,90.22,5.82,94.18,6897.8438,2.71,6274.8203,2.71,13172.664,473413.116,2.71,4016.7148,8389.2188,766.73065,254799.84,231785.94,486585.78,Matched (3),Matched (3)
64,Maulvi Bazar Sadar,,5055444B59699637370048,BGD,ADM3,7401946.5,16998.773,0.23,7384947.727,300,82695,82995,0.361,11320,79380,90700,12.5,Matched (3),0.019169077,Matched (3),9240,418980,409740,2.21,Matched (3),243951536,Matched (3),228196.08,374375.42,37.87,381.24512,0.25,602571.5,149733.17,Matched (3),53.393696,7.783093,45.610603,9.81,90.19,5.07,94.93,6667.8359,3.76,6461.521,3.76,13129.357,336011.703,3.76,3900.9299,8562.5176,665.9093,177298.06,171842.98,349141.06,Matched (3),Matched (3)
87,Nangalkot,,5055444B76725439062785,BGD,ADM3,6430478.5,16343.984,0.25,6414134.516,408,123469,123877,0.329,6920,47240,54160,12.8,Matched (3),0.153279216,Matched (3),13260,376700,363440,3.52,Matched (3),704046336,Matched (3),122252.65,226561.82,35.05,798.51105,0.51,348814.47,157644.23,Matched (3),57.018963,9.1394758,47.879486,9.78,90.22,5.82,94.18,6384.0093,3.43,5807.396,3.43,12191.405,343660.035,3.43,3717.5015,7764.2886,709.6153,186341.02,169510.42,355851.44,Matched (3),Matched (3)
34,Laksam,,5055444B78219247274360,BGD,ADM3,5840859.5,7501.6948,0.13,5833357.8052,252,108320,108572,0.23199999,4720,39620,44340,10.6,Matched (3),0.209874721,Matched (3),4580,243400,238820,1.88,Matched (3),473493344,Matched (3),57791.258,154812.76,27.18,428.1362,0.44,212604.02,96905.609,Matched (3),57.018963,9.1394758,47.879486,9.78,90.22,5.82,94.18,6158.0225,5.85,5601.8203,5.85,11759.843,189324.567,5.85,3585.906,7489.4409,684.49567,105297.52,95786.891,201084.41,Matched (3),Matched (3)
24,Cox's Bazar Sadar,,5055444B44088891115489,BGD,ADM3,9825902,447634.63,4.56,9378267.37,12426,136773,149199,8.3280001,540,35560,36100,1.5,Matched (3),0.182723893,Matched (3),33340,461140,427800,7.23,Matched (3),2021165440,Matched (3),25517.201,136364.19,15.76,444.07529,0.25,161881.39,175905.5,Matched (3),61.794834,5.7176666,56.077168,11.56,88.44,3.53,96.47,5481.5161,2.43,5760.3403,2.43,11241.856,450912.234,2.43,3896.3633,6948.2168,397.27591,225345.8,236808.28,462154.09,Matched (3),Matched (3)
58,Kutubdia,,5055444B6774293613253,BGD,ADM3,1532983.8,32201.68,2.10,1500782.12,434,23879,24313,1.785,0,0,0,,Matched (3),-0.052719843,Matched (3),7620,159340,151720,4.7800002,Matched (3),412609056,Matched (3),9308,86369.63,9.73,28.511389,0.11,95677.625,25354.574,Matched (3),61.794834,5.7176671,56.077168,11.56,88.44,3.53,96.47,4504.4224,7.47,4733.5454,7.47,9237.9678,114416.0522,7.47,3201.8269,5709.6802,326.46048,60293.559,63360.465,123654.02,Matched (3),Matched (3)
11,Banshkhali,,5055444B49096359165052,BGD,ADM3,9096345,78127.227,0.86,9018217.773,1058,153607,154665,0.68400002,2320,50440,52760,4.4000001,Matched (3),0.079519276,Matched (3),8060,360000,351940,2.24,Matched (3),1272369152,Matched (3),54933.891,256141.80,17.66,145,0.06,311075.69,223254.56,Matched (3),44.281559,5.9632025,38.318356,8.43,91.57,4.13,95.87,4163.7432,2.76,4254.5264,2.76,8418.2695,296077.8905,2.76,2236.1467,5834.2241,347.89874,150603.55,153892.63,304496.16,Matched (3),Matched (3)
53,Sreemangal,,5055444B61286165049189,BGD,ADM3,6313192,10908.818,0.17,6302283.182,325,87391,87716,0.37099999,4100,71380,75480,5.4000001,Matched (3),-0.147890166,Matched (3),7540,371940,364400,2.03,Matched (3),716744000,Matched (3),107210.09,289798.60,27.00,36.71508,0.03,397008.69,121570.55,Matched (3),52.592228,7.6999221,44.892303,9.62,90.38,5.05,94.95,3829.0884,2.25,3714.0178,2.25,7543.1064,327227.1736,2.25,2219.1658,4943.3096,380.63101,169938.61,164831.67,334770.28,Matched (3),Matched (3)
2,Juri,,5055444B59468636811398,BGD,ADM3,3158482,13108.726,0.42,3145373.274,240,41517,41757,0.57499999,5740,24500,30240,19,Matched (3),-0.037356367,Matched (3),5800,47920,42120,12.1,Matched (3),290124384,Matched (3),101002.7,137974.66,42.26,922.36151,1.14,238977.36,81264.188,Matched (3),52.592228,7.6999221,44.892303,9.62,90.38,5.05,94.95,3544.5049,6.79,3437.9866,6.79,6982.4917,95795.9483,6.79,2054.2339,4575.9155,352.34195,52173.164,50605.273,102778.44,Matched (3),Matched (3)
75,Mahalchhari,,5055444B90687829441345,BGD,ADM3,1332859.8,2211.1563,0.17,1330648.6437,75,25527,25602,0.29300001,3680,17340,21020,17.5,Matched (3),-0.362880553,Matched (3),2000,445260,443260,0.44999999,Matched (3),79609688,Matched (3),31063.27,56085.43,35.64,190,0.58,87148.695,32948.809,Matched (3),51.546036,7.2718086,44.274227,9.38,90.62,4.79,95.21,3036.5459,12.27,3230.4424,12.33,6266.9883,44692.6637,12.30,1843.0828,4119.6074,304.29807,24754.406,26205.246,50959.652,Matched (3),Matched (3)
27,Banchharampur,,5055444B96018438653421,BGD,ADM3,4941778.5,12757.941,0.26,4929020.559,302,118340,118642,0.255,3880,61940,65820,5.9000001,Matched (3),0.194989973,Matched (3),2920,249760,246840,1.17,Matched (3),865687040,Matched (3),15876.171,212117.24,6.96,629.94061,0.36,227993.41,173109.86,Matched (3),64.529205,9.0310555,55.498154,11.68,88.32,5.49,94.51,3191.9165,2.20,2939.2676,2.20,6131.1841,272719.9459,2.20,2063.123,3731.1245,336.93671,145118.78,133732.34,278851.13,Matched (3),Matched (3)
4,Akhaura,,5055444B62959054248390,BGD,ADM3,3099599.5,7505.793,0.24,3092093.707,196,60591,60787,0.322,6420,24600,31020,20.700001,Matched (3),0.269625,Matched (3),7280,175000,167720,4.1599998,Matched (3),306597696,Matched (3),48938.051,97505.34,33.42,294.7049,0.46,146443.39,64554.285,Matched (3),65.128571,9.0274067,56.101162,11.82,88.18,5.47,94.53,3001.8872,4.76,2766.646,4.76,5768.5332,115475.7868,4.76,1959.8148,3493.3586,315.35971,63094.336,58149.984,121244.32,Matched (3),Matched (3)
84,Madhabpur,,5055444B26771557951521,BGD,ADM3,5855895,24865.465,0.42,5831029.535,102,84474,84576,0.121,7160,59720,66880,10.7,Matched (3),-0.139399878,Matched (3),1700,285140,283440,0.60000002,Matched (3),757523968,Matched (3),86970.492,376100.64,18.78,540.01105,0.31,463071.13,172713.2,Matched (3),61.784588,8.662941,53.121647,11.55,88.45,5.35,94.65,2894.2231,1.73,2762.2612,1.72,5656.4844,321919.0756,1.73,1839.8225,3515.5007,301.16113,167095.88,160479.7,327575.56,Matched (3),Matched (3)
76,Satkania,,5055444B15331282943417,BGD,ADM3,6912655.5,4546.2915,0.07,6908109.2085,75,103499,103574,0.071999997,560,55180,55740,1,Matched (3),-0.078249181,Matched (3),80,348320,348240,0.02,Matched (3),1313293568,Matched (3),5664.542,280800.59,1.98,80.153191,0.05,286465.13,173772.97,Matched (3),44.034763,5.9666629,38.068104,8.39,91.61,4.14,95.86,2696.7964,1.66,2754.3245,1.66,5451.1206,321957.7194,1.66,1440.7205,3784.5869,225.81354,161976.77,165432.06,327408.84,Matched (3),Matched (3)
50,Habiganj Sadar,,5055444B24382626124582,BGD,ADM3,6018861.5,55478.84,0.92,5963382.66,423,83782,84205,0.50199997,5440,49720,55160,9.8999996,Matched (3),-0.159066844,Matched (3),11400,243060,231660,4.6900001,Matched (3),691646464,Matched (3),117022.23,326668.11,26.37,512.43805,0.41,443690.34,124225.67,Matched (3),60.040417,8.4728413,51.567577,11.41,88.59,5.29,94.71,2561.8818,1.64,2463.0771,1.64,5024.959,302182.601,1.64,1619.1219,3139.8062,266.03079,156624.06,150583.5,307207.56,Matched (3),Matched (3)
60,Chhagalnaiya,,5055444B26511265806420,BGD,ADM3,4607731,17835.813,0.39,4589895.187,329,59506,59835,0.55000001,5660,22780,28440,19.9,Matched (3),-0.071877411,Matched (3),2080,89880,87800,2.3099999,Matched (3),538727552,Matched (3),92416.461,100186.48,47.98,966.71521,1.01,192602.94,96013.086,Matched (3),51.15921,9.0231714,42.136036,8.89,91.11,5.97,94.03,2566.4399,3.18,2377.8066,3.18,4944.2466,150640.3034,3.18,1378.2222,3270.887,295.13776,80756.695,74827.859,155584.55,Matched (3),Matched (3)
80,Ashuganj,,5055444B32932838704208,BGD,ADM3,3225152.3,10486.758,0.33,3214665.542,155,53381,53536,0.28999999,2100,21180,23280,9,Matched (3),0.158945717,Matched (3),680,140160,139480,0.49000001,Matched (3),439669408,Matched (3),14145.053,83520.42,14.48,377.51697,0.61,97665.477,62133.598,Matched (3),65.128563,9.0274067,56.101162,11.82,88.18,5.47,94.53,2455.1946,2.82,2262.7947,2.82,4717.9893,162788.0607,2.82,1602.9005,2857.1611,257.92755,87168.477,80337.57,167506.05,Matched (3),Matched (3)
68,Anowara,,5055444B66497559634365,BGD,ADM3,6260397,3058.929,0.05,6257338.071,70,93319,93389,0.075000003,640,31360,32000,2,Matched (3),0.479095073,Matched (3),2040,411600,409560,0.5,Matched (3),1180157568,Matched (3),15176.725,169232.59,8.23,64,0.06,184409.31,112280.64,Matched (3),44.034763,5.9666629,38.0681,8.39,91.61,4.14,95.86,2293.0796,2.07,2341.9956,2.07,4635.0752,219170.6248,2.07,1225.0411,3218.0251,192.00871,110721.89,113083.81,223805.7,Matched (3),Matched (3)
51,Teknaf,,5055444B37552741338938,BGD,ADM3,7888933.5,75581.242,0.96,7813352.258,1910,121252,123162,1.551,800,62860,63660,1.3,Matched (3),-0.028820461,Matched (3),29260,844480,815220,3.46,Matched (3),1032096320,Matched (3),5688.7017,109621.88,4.93,66,0.04,115310.58,155797.31,Matched (3),61.794834,5.7176671,56.077168,11.56,88.44,3.53,96.47,2224.2576,1.70,2337.3972,1.70,4561.6548,264280.6552,1.70,1581.0436,2819.407,161.2043,131087.19,137755.11,268842.31,Matched (3),Matched (3)
62,Fatikchhari,,5055444B95801532899797,BGD,ADM3,14835170,104.039,0.00,14835065.961,5,240280,240285,0.002,80,112720,112800,0.1,Matched (3),-0.174077828,Matched (3),260,1282900,1282640,0.02,Matched (3),2035165184,Matched (3),7839.9551,528444.23,1.46,191,0.05,536284.19,379412.44,Matched (3),44.034763,5.9666629,38.068104,8.39,91.61,4.14,95.86,2099.4512,1.07,2144.2366,1.07,4243.6875,393728.5625,1.07,1121.5983,2946.2939,175.79543,196886.13,201086.11,397972.25,Matched (3),Matched (3)
